URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
https://www.thegoodscentscompany.com/data/rw1004151.html,amyl butyrate,pentyl butyrate,pentyl butanoate,540-18-1,158.24086000,C9 H18 O2,colorless to pale yellow clear liquid (est),99.00 to 100.00 sum of isomers,0.86300 to 0.86600 @  25.00 °C.,1.40900 to 1.41400 @  20.00 °C.,-73.20 °C. @  760.00 mm Hg,"185.00 to  187.00 °C. @  760.00 mm Hg, 96.00 to   97.00 °C. @   50.00 mm Hg",154.00 °F. TCC (   67.78 °C. ),fruity,medium,at 100.00 %.,sweet fruity banana pineapple cherry tropical,,"alcohol; water, 60 mg/L @ 20 °C (exp)",water
https://www.thegoodscentscompany.com/data/rw1375541.html,anethol,1-methoxy-4-(1-propenyl)benzene,1-methoxy-4-prop-1-enylbenzene,104-46-1,148.20484000,C10 H12 O,colorless to pale yellow liquid to solid (est),98.00 to 100.00 sum of isomers,Tidak ditemukan,Tidak ditemukan,21.00 to   23.00 °C. @  760.00 mm Hg,"235.00 to  239.00 °C. @  760.00 mm Hg, 145.00 to  146.00 °C. @   50.00 mm Hg",191.00 °F. TCC (   88.40 °C. ) (est),licorice,Tidak ditemukan,at 100.00 %.,sweet anise licorice medicinal,,"alcohol; water, 111 mg/L @ 25 °C (exp)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1001272.html,para-anisaldehyde,p-methoxybenzaldehyde,4-methoxybenzaldehyde,123-11-5,136.15016000,C8 H8 O2,colorless to pale yellow clear oily liquid (est),98.00 to 100.00,1.11900 to 1.12600 @  25.00 °C.,1.57000 to 1.57400 @  20.00 °C.,-1.00 °C. @  760.00 mm Hg,"248.00 to  249.00 °C. @  760.00 mm Hg, 121.00 to  122.00 °C. @   10.00 mm Hg",228.00 °F. TCC (  108.89 °C. ),anisic,medium,at 100.00 %.,sweet powdery mimosa floral hawthorn balsam,"Luebke, William  tgsc, (1982)","ethyl alcohol, 1:7 in 50% alcohol; ethyl alcohol, 7 vol. of 50% alcohol; fatty oils; kerosene; propylene glycol; sodium bisulfite, 99% soluble in solution; water, 4290 mg/L @ 25 °C (exp)",paraffin oil; alcohol
https://www.thegoodscentscompany.com/data/rw1001491.html,benzaldehyde,artificial bitter almond oil,benzaldehyde,100-52-7,106.12402000,C7 H6 O,colorless to pale yellow clear liquid (est),98.00 to 100.00,1.04900 to 1.05500 @  15.00 °C.,1.54400 to 1.54600 @  20.00 °C.,-26.00 to  -25.00 °C. @  760.00 mm Hg,"62.00 to   63.00 °C. @   10.00 mm Hg, 178.00 to  179.00 °C. @  760.00 mm Hg",145.00 °F. TCC (   62.78 °C. ),fruity,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,strong sharp sweet bitter almond cherry,"Luebke, William  tgsc, (1982)","ether; ethyl alcohol, 1:1-1::1.5 in 70% alcohol; ethyl alcohol, 1:2.5 in 60% alcohol; ethyl alcohol, 1:8 in 50% alcohol; ethyl alcohol, 5 vol. of 50% alcohol; kerosene; paraffin oil; water, 6570 mg/L @ 25 °C (exp)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1033731.html,benzoic acid,phenylcarboxylic acid,benzoic acid,65-85-0,122.12322000,C7 H6 O2,white crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,122.00 to  123.00 °C. @  760.00 mm Hg,"132.00 to  133.00 °C. @   10.00 mm Hg, 249.00 to  250.00 °C. @  760.00 mm Hg",250.00 °F. TCC (  121.11 °C. ),balsamic,low,at 100.00 %.,faint balsam urine,,"acetone; alcohol; glycerin; water, 3400 mg/L @ 25 °C (exp)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1001612.html,benzyl acetate,"acetic acid, phenylmethyl ester",benzyl acetate,140-11-4,150.17710000,C9 H10 O2,colorless clear liquid (est),98.00 to 100.00,1.05900 to 1.06200 @  15.00 °C.,1.50000 to 1.50400 @  20.00 °C.,-51.00 to  -50.00 °C. @  760.00 mm Hg,"212.00 to  215.00 °C. @  760.00 mm Hg, 128.00 to  129.00 °C. @   50.00 mm Hg",203.00 °F. TCC (   95.00 °C. ),floral,medium,at 100.00 %.,sweet floral fruity jasmin fresh,"Luebke, William  tgsc, (1981)","ethyl alcohol, 5 vol. of 60% alcohol; fixed oils; kerosene; paraffin oil; propylene glycol; water-alcohol mixtures: 30% 1:200, 35% 1:120 40% 1:70 50% 1:20 60% 1:5; water, 3100 mg/L @ 25 °C (exp)",glycerin
https://www.thegoodscentscompany.com/data/rw1012591.html,benzyl formate,phenylmethyl formate,benzyl formate,104-57-4,136.15016000,C8 H8 O2,colorless to pale yellow clear liquid (est),95.00 to 100.00,1.08500 to 1.09300 @  20.00 °C.,1.50900 to 1.51400 @  20.00 °C.,Tidak ditemukan,202.00 to  203.00 °C. @  760.00 mm Hg,180.00 °F. TCC (   82.22 °C. ),floral,medium,at 100.00 %.,floral fruity spicy almond cranberry black tea,"Luebke, William  tgsc, (1988)","alcohol; water, 4257 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/es1039621.html,bergamot oil,"volatile oil obtained from the peel of citrus aurantium bergamia, rutaceae",citrus × bergamia peel oil,8007-75-8,Tidak ditemukan,Tidak ditemukan,golden yellow amber clear liquid (est),Tidak ditemukan,0.87600 to 0.88400 @  25.00 °C.,1.46400 to 1.46600 @  20.00 °C.,Tidak ditemukan,Tidak ditemukan,108.00 °F. TCC (   42.22 °C. ),citrus,Tidak ditemukan,at 100.00 %.,citrus woody orange linalyl acetate,,"alcohol; fixed oils; water, 20.12 mg/L @ 25 °C (est)",water; glycerin; propylene glycol
https://www.thegoodscentscompany.com/data/rw1060851.html,beta-caryophyllene,"(1R-(1R*,4E,9S))-4,11,11-trimethyl-8-methylenebicyclo(7.2.0)undec-4-ene","(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",87-44-5,204.35628000,C15 H24,colorless clear oily liquid (est),80.00 to 100.00,0.89900 to 0.90800 @  25.00 °C.,1.49800 to 1.50400 @  20.00 °C.,Tidak ditemukan,"256.00 to  259.00 °C. @  760.00 mm Hg, 160.00 to  161.00 °C. @   50.00 mm Hg",200.00 °F. TCC (   93.33 °C. ),spicy,medium,at 100.00 %.,sweet woody spice clove dry,"Luebke, William  tgsc, (1999)","alcohol; propylene glycol; water, 0.05011 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1000881.html,(E)-beta-damascone,trans-beta-damascone,"(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)but-2-en-1-one",23726-91-2,192.30160000,C13 H20 O,pale yellow clear liquid (est),90.00 to 100.00,0.92800 to 0.93600 @  25.00 °C.,1.49200 to 1.49900 @  20.00 °C.,Tidak ditemukan,200.00 °C. @  760.00 mm Hg,212.00 °F. TCC (  100.00 °C. ),fruity,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,fruity floral berry plum blackcurrant honey rose tobacco,"Luebke, William  tgsc, (1987)","alcohol; dipropylene glycol; water, 7.986 mg/L @ 25 °C (est)",Tidak ditemukan
